username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Brad Johnson,39694840,"Oakland, CA",1/23/2023 0:13,"Absolutely beside myself that neither of last year's Carrie Mae Weems books have yet to sell for us. Fortunately, I�?https://t.co/pneskXjOo6",0,Twitter Web App,
Chase Center,4836530927,"San Francisco, CA",1/23/2023 0:10,Celebrating Lunar New Year on #WarriorsGround https://t.co/zHEFnJPWnj,7,Twitter for iPhone,
Cal🌟,17445752,"Berkeley, CA",1/23/2023 0:09,"✨Wishing you a prosperous and joyful Lunar New Year!
#LunarNewYear2023 #LunarNewYear https://t.co/pfpp7Eub2z",7,Twitter Web App,
jasmine,41974797,"San Mateo, CA",1/23/2023 0:02,happy niner new year 🧧,1,Twitter for iPhone,
megan ⁎⁺˳✧༚*�?1431101369465798670,"San Francisco, CA",1/23/2023 0:00,BOOP THE SNOOT FOR GOOD LUCK THIS CHINESE NEW YEAR 🧧 https://t.co/dbeBZE0W7K,0,Twitter for iPhone,,
LynnZ,2750073596,"San Francisco, CA",1/22/2023 23:53,"Good morning☀�?Continue enjoying the Lunar New Year holiday.
Take good care! ❤️❤️❤️

https://t.co/eVeLA3t8Rt

#박보검 �?https://t.co/uLU64tfT0R",4,Twitter for iPhone,
Christian Crucifixx,1.2492E+18,"San Francisco, CA",1/22/2023 23:51,"One of my goals for this year is to go to more bars/venues/spaces I haven’t been to before. 

I’ve been pretty succ�?https://t.co/nqNB7srfA6",0,Twitter for iPhone,
San Francisco Chronicle,121597316,"San Francisco, CA",1/22/2023 23:51,"The Southern California shooting spread fear and dampened Lunar New Year festivities around the country, with many�?https://t.co/05r002rA3O",0,SocialFlow,
Steve Riley☮️,314668690,Near San Francisco California,1/22/2023 23:50,"@kristiyamaguchi Yes! Go Niners!

And Happy New Year of the Rabbit! 😊",0,Twitter for iPhone,
Preston Mui,1377405014,"Berkeley, CA",1/22/2023 23:49,Happy new year https://t.co/pfbczrK6Up,0,Twitter for Android,
